Datum,Diesel (B7),E10,E5,Lpg
2026-03-17,2.102,1.873,1.98,1.275
2026-03-18,2.102,1.873,1.98,1.275
2026-03-19,2.108,1.871,1.978,1.272
2026-03-20,2.125,1.872,1.979,1.265
2026-03-21,2.142,1.877,1.984,1.264
2026-03-22,2.149,1.879,1.986,1.264
2026-03-23,2.164,1.887,1.997,1.269
2026-03-24,2.193,1.899,2.009,1.269
2026-03-25,2.206,1.9,2.009,1.266
2026-03-26,2.214,1.9,2.009,1.263
2026-03-27,2.224,1.901,2.009,1.261
2026-03-28,2.219,1.894,2.003,1.254
2026-03-29,2.235,1.904,2.014,1.259
2026-03-30,2.239,1.904,2.014,1.271
2026-03-31,2.253,1.914,2.025,1.275
2026-04-01,2.242,1.903,2.013,1.265
2026-04-02,2.256,1.911,2.021,1.269
2026-04-03,2.276,1.92,2.03,1.258
2026-04-04,2.283,1.924,2.032,1.259
2026-04-05,2.294,1.931,2.042,1.261
2026-04-06,2.292,1.929,2.039,1.258
2026-04-07,2.301,1.935,2.044,1.259
2026-04-08,2.306,1.935,2.046,1.256
2026-04-09,2.297,1.939,2.051,1.257
2026-04-10,2.287,1.938,2.049,1.255
2026-04-11,2.279,1.937,2.047,1.253
2026-04-12,2.278,1.941,2.052,1.254
2026-04-13,2.277,1.942,2.054,1.254
2026-04-14,2.284,1.953,2.065,1.259
2026-04-15,2.282,1.955,2.067,1.259
2026-04-16,2.277,1.953,2.064,1.271
2026-04-17,2.275,1.954,2.065,1.271
2026-04-18,2.273,1.953,2.066,1.271
2026-04-19,2.277,1.958,2.072,1.274
2026-04-20,2.277,1.959,2.072,1.274
2026-04-21,2.282,1.965,2.078,1.278
2026-04-22,2.282,1.967,2.08,1.279
2026-04-23,2.279,1.964,2.077,1.276
2026-04-24,2.276,1.964,2.077,1.276
