Datum (ANWB),Diesel (B7),E10,E5,Lpg
17-03-2026,1.945,1.683,1.741,0.964
2026-03-17,1.949,1.692,1.756,0.967
2026-03-18,1.949,1.692,1.756,0.967
2026-03-19,1.959,1.7,1.765,0.973
2026-03-20,1.981,1.703,1.768,0.973
2026-03-21,2.012,1.754,1.82,0.973
2026-03-22,2.013,1.754,1.82,0.974
2026-03-23,2.013,1.754,1.82,0.974
2026-03-24,2.071,1.774,1.842,1.006
2026-03-25,2.122,1.774,1.842,1.022
2026-03-26,2.122,1.774,1.842,1.023
2026-03-27,2.135,1.781,1.849,1.03
2026-03-28,2.113,1.781,1.849,1.03
2026-03-29,2.125,1.775,1.842,1.03
2026-03-30,2.125,1.775,1.842,1.03
2026-03-31,2.104,1.778,1.843,1.03
2026-04-01,2.091,1.793,1.843,1.039
2026-04-02,2.062,1.811,1.869,1.041
2026-04-03,2.066,1.811,1.869,1.054
2026-04-04,2.066,1.811,1.869,1.054
2026-04-05,2.059,1.816,1.876,1.059
2026-04-06,2.059,1.816,1.876,1.059
2026-04-07,2.061,1.816,1.876,1.059
2026-04-08,2.129,1.815,1.872,1.059
2026-04-09,2.156,1.816,1.875,1.056
2026-04-10,2.15,1.816,1.876,1.053
2026-04-11,2.128,1.813,1.875,1.053
2026-04-12,2.128,1.813,1.875,1.053
2026-04-13,2.128,1.813,1.875,1.053
2026-04-14,2.107,1.796,1.863,1.053
2026-04-15,2.057,1.787,1.86,1.046
2026-04-16,2.04,1.788,1.86,1.046
2026-04-17,2.022,1.776,1.841,1.046
2026-04-18,2.025,1.761,1.831,1.046
2026-04-19,2.024,1.761,1.831,1.046
2026-04-20,2.025,1.761,1.831,1.046
2026-04-21,1.939,1.739,1.799,1.046
2026-04-22,1.915,1.737,1.813,1.046
2026-04-23,1.923,1.752,1.832,1.046
2026-04-24,1.876,1.749,1.832,1.046
2026-04-25,1.881,1.755,1.833,1.046
2026-04-26,1.881,1.755,1.833,1.046
2026-04-27,1.882,1.756,1.833,1.046
2026-04-28,1.893,1.755,1.83,1.046
2026-04-29,1.914,1.75,1.819,1.046
2026-04-30,1.922,1.723,1.807,1.007
2026-05-01,1.938,1.774,1.849,1.033
2026-05-02,1.938,1.774,1.849,1.033
2026-05-03,1.938,1.781,1.859,1.033
2026-05-04,1.939,1.781,1.859,1.033
2026-05-05,1.939,1.781,1.859,1.033
2026-05-06,1.932,1.762,1.822,1.033
2026-05-07,1.939,1.749,1.828,1.03
2026-05-08,1.952,1.791,1.876,1.027
2026-05-09,1.925,1.792,1.876,1.027
2026-05-10,1.929,1.792,1.876,1.018
2026-05-11,1.93,1.792,1.876,1.018
2026-05-12,1.907,1.817,1.884,1.02
2026-05-13,1.903,1.822,1.885,1.02
2026-05-14,1.86,1.787,1.852,1.02
2026-05-15,1.868,1.807,1.87,1.02
2026-05-16,1.874,1.84,1.915,1.02
2026-05-17,1.874,1.84,1.915,1.02
2026-05-18,1.874,1.84,1.915,1.02
2026-05-19,1.874,1.84,1.915,1.02
2026-05-20,1.874,1.84,1.915,1.02
2026-05-21,1.881,1.836,1.913,0.993
2026-05-22,1.874,1.84,1.915,1.02
2026-05-23,1.874,1.84,1.915,1.02
2026-05-24,1.874,1.84,1.915,1.02
2026-05-25,1.879,1.842,1.92,0.99
2026-05-26,1.874,1.84,1.915,1.02
2026-05-27,1.929,1.792,1.876,1.018
2026-05-28,1.836,1.844,1.925,0.974
2026-05-29,1.789,1.841,1.921,0.952
2026-05-30,1.811,1.842,1.905,0.956
2026-05-31,1.813,1.842,1.899,0.956
2026-06-01,1.792,1.862,1.924,0.974
2026-06-02,1.793,1.862,1.924,0.974
2026-06-03,1.776,1.838,1.917,0.964
2026-06-04,1.765,1.83,1.909,0.971
2026-06-05,1.756,1.829,1.908,0.972
2026-06-06,1.763,1.826,1.908,0.962
2026-06-07,1.767,1.826,1.908,0.962
2026-06-08,1.766,1.826,1.908,0.964
2026-06-09,1.738,1.765,1.821,0.902
2026-06-10,1.769,1.759,1.868,0.944
2026-06-11,1.756,1.76,1.868,0.944
2026-06-12,1.758,1.774,1.859,0.957
2026-06-13,1.753,1.775,1.858,0.957
2026-06-14,1.753,1.775,1.858,0.957
2026-06-15,1.737,1.776,1.858,0.957
2026-06-16,1.731,1.772,1.852,0.957
2026-06-17,1.732,1.772,1.851,0.957
2026-06-18,1.673,1.712,1.805,0.913
2026-06-19,1.647,1.695,1.799,0.867
2026-06-20,1.68,1.722,1.794,0.894
2026-06-21,1.678,1.722,1.794,0.894
2026-06-22,1.677,1.722,1.794,0.894
2026-06-23,1.677,1.722,1.794,0.894
2026-06-24,1.677,1.722,1.794,0.894
2026-06-25,1.671,1.714,1.787,0.887
2026-06-26,1.654,1.704,1.783,0.884
2026-06-27,1.655,1.705,1.782,0.885
2026-06-28,1.654,1.707,1.782,0.885
