Datum (ANWB),Diesel (B7),E10,E5,Lpg
17-03-2026,1.974,1.767,1.887,1.121
2026-03-17,1.971,1.764,1.885,1.121
2026-03-18,1.971,1.764,1.885,1.121
2026-03-19,1.996,1.784,1.901,1.121
2026-03-20,1.988,1.774,1.888,1.121
2026-03-21,2.092,1.84,1.964,1.152
2026-03-22,2.09,1.835,1.959,1.152
2026-03-23,2.088,1.833,1.954,1.152
2026-03-24,2.171,1.873,1.995,1.152
2026-03-25,2.157,1.861,1.978,1.152
2026-03-26,2.171,1.864,1.981,1.152
2026-03-27,2.156,1.853,1.967,1.152
2026-03-28,2.196,1.88,1.997,1.152
2026-03-29,2.19,1.873,1.988,1.152
2026-03-30,2.186,1.87,1.985,1.152
2026-03-31,2.235,1.906,2.003,1.152
2026-04-01,2.22,1.887,1.992,1.152
2026-04-02,2.227,1.893,1.983,1.152
2026-04-03,2.145,1.812,1.905,1.153
2026-04-04,2.213,1.81,1.92,1.153
2026-04-05,2.212,1.804,1.913,1.153
2026-04-06,2.211,1.801,1.908,1.153
2026-04-07,2.214,1.797,1.903,1.153
2026-04-08,2.204,1.79,1.893,1.153
2026-04-09,2.211,1.796,1.908,1.153
2026-04-10,2.102,1.759,1.858,1.153
2026-04-11,2.119,1.759,1.864,1.153
2026-04-12,2.099,1.747,1.848,1.153
2026-04-13,2.095,1.744,1.845,1.153
2026-04-14,2.05,1.747,1.854,1.153
2026-04-15,2.038,1.751,1.866,1.153
2026-04-16,1.995,1.734,1.846,1.153
2026-04-17,1.978,1.717,1.841,1.153
2026-04-18,1.972,1.717,1.835,1.153
2026-04-19,1.965,1.709,1.821,1.153
2026-04-20,1.961,1.706,1.817,1.153
2026-04-21,1.906,1.702,1.814,1.153
2026-04-22,1.885,1.694,1.803,1.153
2026-04-23,1.888,1.691,1.801,1.177
2026-04-24,1.895,1.695,1.81,1.219
2026-04-25,1.924,1.72,1.835,1.219
2026-04-26,1.913,1.713,1.828,1.219
2026-04-27,1.909,1.709,1.824,1.219
2026-04-28,1.935,1.726,1.844,1.219
2026-04-29,1.943,1.73,1.845,1.219
2026-04-30,1.95,1.75,1.87,1.219
2026-05-01,1.997,1.787,1.911,1.219
2026-05-02,1.993,1.784,1.907,1.219
2026-05-03,1.988,1.781,1.904,1.219
2026-05-04,1.986,1.78,1.903,1.219
2026-05-05,2.012,1.822,1.946,1.219
2026-05-06,2.031,1.84,1.961,1.219
2026-05-07,2.028,1.846,2.002,1.339
2026-05-08,1.983,1.814,1.98,1.339
2026-05-09,1.944,1.808,1.981,1.339
2026-05-10,1.933,1.802,1.972,1.339
2026-05-11,1.921,1.793,1.96,1.339
2026-05-12,1.935,1.807,1.98,1.339
2026-05-13,1.938,1.823,1.997,1.339
2026-05-14,1.949,1.834,2.008,1.339
2026-05-15,1.933,1.821,1.992,1.339
2026-05-16,1.945,1.839,1.976,1.339
2026-05-17,1.929,1.824,1.949,1.339
2026-05-18,1.929,1.824,1.949,1.339
2026-05-19,1.929,1.824,1.949,1.339
2026-05-20,1.929,1.824,1.949,1.339
2026-05-21,1.944,1.848,2.018,1.339
2026-05-22,1.929,1.824,1.949,1.339
2026-05-23,1.929,1.824,1.949,1.339
2026-05-24,1.929,1.824,1.949,1.339
2026-05-25,1.912,1.821,1.984,1.339
2026-05-26,1.929,1.824,1.949,1.339
2026-05-27,1.936,1.804,1.974,1.339
2026-05-28,1.881,1.798,1.964,1.339
2026-05-29,1.867,1.782,1.948,1.339
2026-05-30,1.86,1.776,1.94,1.339
2026-05-31,1.847,1.76,1.921,1.339
2026-06-01,1.833,1.746,1.905,1.339
