Datum (ANWB),Diesel (B7),E10,E5,Lpg
17-03-2026,1.632,1.767,,
2026-03-17,1.638,1.768,,
2026-03-18,1.638,1.768,,
2026-03-19,1.646,1.771,,
2026-03-20,1.658,1.778,,
2026-03-21,1.671,1.783,,
2026-03-22,1.683,1.786,,
2026-03-23,1.689,1.79,,
2026-03-24,1.702,1.797,,
2026-03-25,1.722,1.803,,
2026-03-26,1.728,1.806,,
2026-03-27,1.74,1.808,,
2026-03-28,1.758,1.81,,
2026-03-29,1.764,1.816,,
2026-03-30,1.768,1.816,,
2026-03-31,1.778,1.822,,
2026-04-01,1.788,1.823,,
2026-04-02,1.794,1.827,,
2026-04-03,1.795,1.832,,
2026-04-04,1.793,1.84,,
2026-04-05,1.8,1.842,,
2026-04-06,1.801,1.843,,
2026-04-07,1.808,1.848,,
2026-04-08,1.815,1.853,,
2026-04-09,1.817,1.856,,
2026-04-10,1.82,1.856,,
2026-04-11,1.82,1.86,,
2026-04-12,1.823,1.863,,
2026-04-13,1.822,1.863,,
2026-04-14,1.826,1.864,,
2026-04-15,1.832,1.865,,
2026-04-16,1.831,1.864,,
2026-04-17,1.828,1.864,,
2026-04-18,1.83,1.865,,
2026-04-19,1.827,1.866,,
2026-04-20,1.826,1.869,,
2026-04-21,1.824,1.87,,
2026-04-22,1.824,1.872,,
2026-04-23,1.818,1.874,,
2026-04-24,1.813,1.875,,
2026-04-25,1.807,1.877,,
2026-04-26,1.803,1.878,,
2026-04-27,1.801,1.881,,
2026-04-28,1.799,1.883,,
2026-04-29,1.797,1.884,,
2026-04-30,1.794,1.888,,
2026-05-01,1.794,1.891,,
2026-05-02,1.794,1.894,,
2026-05-03,1.795,1.899,,
2026-05-04,1.795,1.901,,
2026-05-05,1.792,1.906,,
2026-05-06,1.796,1.908,,
2026-05-07,1.797,1.912,,
2026-05-08,1.797,1.914,,
2026-05-09,1.799,1.915,,
2026-05-10,1.798,1.919,,
2026-05-11,1.797,1.92,,
2026-05-12,1.795,1.922,,
2026-05-13,1.79,1.928,,
2026-05-14,1.786,1.931,,
2026-05-15,1.783,1.933,,
2026-05-16,1.779,1.935,,
2026-05-17,1.777,1.936,,
2026-05-18,1.777,1.936,,
2026-05-19,1.777,1.936,,
2026-05-20,1.777,1.936,,
2026-05-21,1.772,1.958,,
2026-05-22,1.777,1.936,,
2026-05-23,1.777,1.936,,
2026-05-24,1.777,1.936,,
2026-05-25,1.773,1.964,,
2026-05-26,1.777,1.936,,
2026-05-27,1.798,1.918,,
2026-05-28,1.768,1.987,,
2026-05-29,1.766,1.989,,
2026-05-30,1.762,1.988,,
2026-05-31,1.759,1.989,,
2026-06-01,1.757,1.99,,
2026-06-02,1.753,1.992,,
2026-06-03,1.747,1.994,,
2026-06-04,1.743,1.994,,
2026-06-05,1.739,1.993,,
2026-06-06,1.739,1.996,,
2026-06-07,1.738,1.996,,
2026-06-08,1.737,1.994,,
2026-06-09,1.736,1.995,,
2026-06-10,1.736,1.995,,
