Datum (ANWB),Diesel (B7),E10,E5,Lpg
17-03-2026,1.799,1.511,1.601,0.807
2026-03-17,1.799,1.513,1.607,0.807
2026-03-18,1.799,1.513,1.607,0.807
2026-03-19,1.809,1.513,1.605,0.805
2026-03-20,1.881,1.53,1.613,0.805
2026-03-21,1.915,1.546,1.63,0.836
2026-03-22,1.923,1.548,1.63,0.836
2026-03-23,1.915,1.551,1.632,0.837
2026-03-24,1.987,1.576,1.654,0.838
2026-03-25,2.007,1.586,1.669,0.839
2026-03-26,2.004,1.593,1.669,0.864
2026-03-27,1.989,1.597,1.668,0.874
2026-03-28,1.995,1.602,1.676,0.892
2026-03-29,2,1.602,1.676,0.892
2026-03-30,2.002,1.608,1.682,0.895
2026-03-31,2.019,1.612,1.686,0.894
2026-04-01,2.01,1.614,1.619,0.914
2026-04-02,2.012,1.622,1.694,0.946
2026-04-03,2.031,1.622,1.694,0.952
2026-04-04,2.033,1.622,1.694,0.952
2026-04-05,2.033,1.622,1.694,0.952
2026-04-06,2.034,1.622,1.695,0.952
2026-04-07,2.034,1.623,1.695,0.952
2026-04-08,2.037,1.634,1.712,0.954
2026-04-09,1.976,1.635,1.718,0.957
2026-04-10,1.911,1.643,1.73,0.958
2026-04-11,1.896,1.644,1.73,0.957
2026-04-12,1.893,1.644,1.73,0.957
2026-04-13,1.893,1.644,1.731,0.957
2026-04-14,1.839,1.649,1.74,0.958
2026-04-15,1.842,1.652,1.739,0.959
2026-04-16,1.799,1.647,1.737,0.959
2026-04-17,1.783,1.649,1.739,0.959
2026-04-18,1.769,1.649,1.737,0.959
2026-04-19,1.767,1.652,1.74,0.961
2026-04-20,1.767,1.653,1.741,0.961
2026-04-21,1.736,1.651,1.74,0.961
2026-04-22,1.684,1.647,1.734,0.959
2026-04-23,1.694,1.644,1.731,0.961
