Datum (ANWB),Diesel (B7),E10,E5,Lpg
17-03-2026,1.891,1.553,1.755,
2026-03-17,1.892,1.554,1.756,
2026-03-18,1.892,1.554,1.756,
2026-03-19,1.929,1.56,1.766,
2026-03-20,1.999,1.567,1.779,
2026-03-21,2.044,1.568,1.786,
2026-03-22,2.046,1.572,1.791,
2026-03-23,2.049,1.576,1.793,
2026-03-24,2.064,1.578,1.789,
2026-03-25,2.037,1.575,1.779,
2026-03-26,2.055,1.585,1.788,
2026-03-27,2.025,1.581,1.777,
2026-03-28,2.077,1.589,1.779,
2026-03-29,2.078,1.593,1.784,
2026-03-30,2.084,1.6,1.791,
2026-03-31,2.095,1.597,1.785,
2026-04-01,2.114,1.605,1.806,
2026-04-02,2.131,1.617,1.819,
2026-04-03,2.13,1.618,1.825,
