Datum,Diesel (B7),E10,E5,Lpg
2026-03-18,1.492,1.401,,0.925
2026-03-19,1.481,1.376,,0.925
2026-03-20,1.479,1.374,,0.925
2026-03-21,1.479,1.374,,0.925
2026-03-22,1.478,1.374,,0.925
2026-03-23,1.482,1.378,,0.927
2026-03-24,1.554,1.377,,0.927
2026-03-25,1.536,1.374,,0.957
2026-03-26,1.523,1.374,,0.957
2026-03-27,1.522,1.374,,0.957
2026-03-28,1.521,1.373,,0.957
2026-03-29,1.52,1.373,,0.957
2026-03-30,1.527,1.38,,0.962
2026-03-31,1.52,1.336,,0.957
2026-04-01,1.519,1.335,,0.957
2026-04-02,1.52,1.335,,0.957
2026-04-03,1.519,1.335,,0.957
2026-04-04,1.521,1.337,,0.959
2026-04-05,1.519,1.336,,0.957
2026-04-06,1.519,1.336,,0.957
2026-04-07,1.567,1.33,,0.958
2026-04-08,1.561,1.327,,0.956
2026-04-09,1.562,1.328,,0.957
2026-04-10,1.562,1.327,,0.957
2026-04-11,1.561,1.327,,0.957
2026-04-12,1.561,1.327,,0.957
2026-04-13,1.568,1.333,,0.962
2026-04-14,1.56,1.325,,0.957
2026-04-15,1.525,1.304,,0.957
2026-04-16,1.523,1.303,,0.957
